old_id,name,usage_count,category_major,category_sub,drop_type,reason
12447,红粉皮,3,其他,烘焙与加工食品,processed,豆制品或淀粉制品（严格模式排除）
12450,电动打奶泡器,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12451,豆腐一盒,3,干豆类及其制品,豆制品,processed,豆制品或淀粉制品（严格模式排除）
12452,冷冻树莓,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12454,锅烧豆腐,3,干豆类及其制品,豆制品,processed,豆制品或淀粉制品（严格模式排除）
12455,生水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12457,头瓶,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12458,料理杯,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12459,马斯卡朋芝士,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12460,食油少量,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12461,皮量橙皮屑,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12462,牛肉汉堡,3,畜肉类及其制品,畜肉,processed,成品、半成品或加工食品
12463,多豆沙馅,3,干豆类及其制品,豆制品,processed,成品、半成品或加工食品
12464,多少腐竹,3,干豆类及其制品,豆制品,processed,豆制品或淀粉制品（严格模式排除）
12465,皮普通面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12466,馅低筋面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12467,蛋挞皮蛋挞皮,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12471,多少黄豆,3,干豆类及其制品,豆制品,junk,数量或单位残留且无法可靠恢复原食材
12472,慕斯蛋糕体,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12474,柳橙皮屑,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12475,橙皮粒,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12476,磅蛋糕模,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12477,广式月饼,3,其他类,其他,processed,成品、半成品或加工食品
12478,小米椒干辣椒,3,谷类及其制品,谷物,seasoning,调味料不进入基础原生食材表
12481,海底捞,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12483,坚果巧克力,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12484,油条粉,3,其他类,其他,processed,成品、半成品或加工食品
12485,材料混合,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12486,粗粮煎饼,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12488,干雪莉酒,3,其他类,其他,seasoning,调味料不进入基础原生食材表
12489,濑粉,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12496,海底捞清油锅底,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12498,彩迪卷,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12504,黑米面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12505,爱好干辣椒,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12506,法式长棍,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12507,克豆渣,3,干豆类及其制品,豆制品,processed,成品、半成品或加工食品
