id,original_name,cleaned_name,changed,rules
114004,柠蜜,柠蜜,0,未修改
114014,培根鸡蛋炒秋葵,培根鸡蛋炒秋葵,0,未修改
114051,肉嫩菜鲜的青笋木耳炒肉,肉嫩菜鲜的青笋木耳炒肉,0,未修改
114136,雨季的冬阴功汤@坏露露的露台食光,雨季的冬阴功汤@坏露露的露台食光,0,未修改
114154,超美味的红烧咸鱼,红烧咸鱼,1,删除营销定语
114157,好吃下饭的川香回锅肉,川香回锅肉,1,删除营销定语
114163,老奶洋芋-吃对了照样瘦成闪电！,老奶洋芋-吃对了照样瘦成闪电,1,删除宣传后句
114172,清炒芦笋,清炒芦笋,0,未修改
114260,萝卜烧肉,萝卜烧肉,0,未修改
114277,简便版·辣白菜年糕火锅,简便版·辣白菜年糕火锅,0,未修改
114318,洋葱木耳炒鸡蛋,洋葱木耳炒鸡蛋,0,未修改
114349,西红柿烧茄子（无油菜）,西红柿烧茄子,1,删除括号说明
114367,快手版——黑椒牛肉粒,版——黑椒牛肉粒,1,删除营销定语
114375,广式腊肉------鱼儿厨房私房菜,广式腊肉------鱼儿厨房私房菜,0,未修改
114376,柠檬鲫鱼奶汤,柠檬鲫鱼奶汤,0,未修改
114382,超满足鸡蛋皮炒时蔬【减脂·三餐】,满足鸡蛋皮炒时蔬【减脂·三餐】,1,删除营销定语
114457,香菇土豆炖肉,香菇土豆炖肉,0,未修改
114458,姜葱炒鸡,姜葱炒鸡,0,未修改
114461,白菜肉馅饺子,白菜肉馅饺子,0,未修改
114489,孜然鸡丁,孜然鸡丁,0,未修改
114502,快手菜！青瓜炒蛋,菜！青瓜炒蛋,1,删除营销定语
114546,🌟蜜汁鸡翅🌟,蜜汁鸡翅,1,删除装饰符号
114551,鸡汤小馄饨,鸡汤小馄饨,0,未修改
114624,鲶鱼咸菜煲--《鱼菜十四》,鲶鱼咸菜煲--鱼菜十四,1,未修改
114639,虾米冬瓜,虾米冬瓜,0,未修改
114655,麻辣藕片,麻辣藕片,0,未修改
114670,凉拌金针菇,凉拌金针菇,0,未修改
114676,姜肠酸辣面,姜肠酸辣面,0,未修改
114691,新手零失误做超级下饭的青菜芋子糊(有好多独家秘诀哦),新手零失误做超级下饭的青菜芋子糊,1,删除括号说明
114694,酸辣菜瓜,酸辣菜瓜,0,未修改
114729,耗油生菜,耗油生菜,0,未修改
114746,干煸五花肉土豆片,干煸五花肉土豆片,0,未修改
114762,糯糯的板栗烧排骨呀,糯糯的板栗烧排骨呀,0,未修改
114772,三分钟的韩国美食，海带豆腐汤,三分钟的韩国美食,1,删除宣传后句
114791,鸡蛋番茄饼,鸡蛋番茄饼,0,未修改
114795,豆角包子,豆角包子,0,未修改
114823,最简单家常辣椒炒蛋,最简单家常辣椒炒蛋,0,未修改
114825,海派鱼香肉丝,海派鱼香肉丝,0,未修改
114875,酸辣肉酱面,酸辣肉酱面,0,未修改
114902,菠萝炒饭,菠萝炒饭,0,未修改
114907,西红柿鸡蛋汤,西红柿鸡蛋汤,0,未修改
114971,牛脊骨汤,牛脊骨汤,0,未修改
114986,芹菜香干炒肉丝,芹菜香干炒肉丝,0,未修改
115015,炒花甲小王子🤴,炒花甲小王子,1,删除装饰符号
115021,家常菜-冬瓜肉丸汤,冬瓜肉丸汤,1,删除分类前缀
115035,原味风菌菇浸鸡,原味风菌菇浸鸡,0,未修改
115040,鲜美无敌的蛋饺娃娃菜粉条煲,鲜美无敌的蛋饺娃娃菜粉条煲,0,未修改
115063,清炖鸡汤,清炖鸡汤,0,未修改
115065,红烧鲳鱼,红烧鲳鱼,0,未修改
115108,‼️奶香浓郁的咖喱牛腩饭🥩我可以吃三碗,‼️奶香浓郁的咖喱牛腩饭我可以吃三碗,1,删除装饰符号
115118,素食也够味：家常葱油烙饼,素食也够味：家常葱油烙饼,0,未修改
115135,辣炒蚬子,辣炒蚬子,0,未修改
115165,雪菜豆腐,雪菜豆腐,0,未修改
115175,经典鲁菜，锅塌豆腐,经典鲁菜,1,删除宣传后句
115180,自制红油金针菇,红油金针菇,1,删除营销定语
115194,蛤蜊丝瓜汤—惊艳的鲜！！,蛤蜊丝瓜汤—惊艳的鲜,1,删除宣传后句
115207,「家常」酸菜鱼,「家常」酸菜鱼,0,未修改
115214,超简单好吃的炒通菜杆,炒通菜杆,1,删除营销定语
115233,回味一下春天的味道-鲜笋炒肉,回味一下春天的味道-鲜笋炒肉,0,未修改
115244,蒜蓉油麦菜,蒜蓉油麦菜,0,未修改
115249,清脆爽口快速腌萝卜,清脆爽口快速腌萝卜,0,未修改
115258,胡萝卜炒肉,胡萝卜炒肉,0,未修改
115269,紫苏海鲈鱼豆腐汤丨附避免煎鱼破皮的小贴士,紫苏海鲈鱼豆腐汤丨附避免煎鱼破皮的小贴士,0,未修改
115329,凉拌蕨根粉,凉拌蕨根粉,0,未修改
115330,肉炒青椒土豆片,肉炒青椒土豆片,0,未修改
115332,酸菜猪板筋【葱伴侣ONLY酱版】,酸菜猪板筋【葱伴侣ONLY酱版】,0,未修改
115333,㊙️零难度！超级下饭的青椒肉丝炒杏鲍菇,㊙️零难度,1,删除宣传后句
115349,低油快手版胡萝卜炒鸡丁,低油快手版胡萝卜炒鸡丁,0,未修改
115351,偷饭贼—黄油炒剁椒酸包菜豆角,偷饭贼—黄油炒剁椒酸包菜豆角,0,未修改
115384,青椒炒鸭肾鸭胗,青椒炒鸭肾鸭胗,0,未修改
