old_id,name,usage_count,category_major,possible_candidates,sample_raw_text,sample_dish_ids,reason
1012,猪脊骨,18,畜肉类及其制品,,350克猪脊骨 || 500克猪脊骨 || 2斤左右猪脊骨,2690|7681|9785,可能是原生食材，但频次、命名或类别证据不足
1013,阿根廷红虾,18,鱼虾蟹贝类,,12只阿根廷红虾 || 1只阿根廷红虾 || 阿根廷红虾,3099|3850|4802,可能是原生食材，但频次、命名或类别证据不足
1019,混合坚果,18,坚果种子类,,混合坚果（花生米60g，开心果40g，杏仁40g，南瓜仁30g） || 一把混合坚果 || 100克混合坚果,10941|15755|23771,可能是原生食材，但频次、命名或类别证据不足
1021,其他配菜,18,蔬菜类及其制品,,若干其他配菜（土豆、香肠、胡萝卜等） || 随意其他配菜 || 其他配菜,44254|50856|58427,可能是原生食材，但频次、命名或类别证据不足
1023,蛋黄鸡蛋,18,禽肉类及其制品,,蛋黄一个鸡蛋 || 3个蛋黄鸡蛋 || 2个蛋黄鸡蛋,21689|30050|49070,可能是原生食材，但频次、命名或类别证据不足
1031,柠檬叶,18,水果类及其制品,,6片柠檬叶 || 5片柠檬叶 || 数片柠檬叶,714|1491|4641|10611,可能是原生食材，但频次、命名或类别证据不足
1032,干黄豆,18,干豆类及其制品,,150克干黄豆 || 60克干黄豆 || 干黄豆,724|1914|2354,可能是原生食材，但频次、命名或类别证据不足
1034,菠菜粉,18,蔬菜类及其制品,,适量菠菜粉 || 2克菠菜粉 || 5克菠菜粉,1309|7967|13982|14750,可能是原生食材，但频次、命名或类别证据不足
1040,银鳕鱼,18,鱼虾蟹贝类,,120g银鳕鱼 || 一块银鳕鱼 || 3-4块银鳕鱼,3625|5970|7862,可能是原生食材，但频次、命名或类别证据不足
1045,小麦胚芽,18,干豆类及其制品,,1／4杯小麦胚芽 || 1／2 杯小麦胚芽 || 1/2 杯（63克）小麦胚芽,13024|92150|117969,可能是原生食材，但频次、命名或类别证据不足
1046,蒸肉粉,18,畜肉类及其制品,,蒸肉粉# || 1包（我用的是桥头牌五香蒸肉粉，但还是有点辣）蒸肉粉 || 50g蒸肉粉,3534|8438|13146,可能是原生食材，但频次、命名或类别证据不足
1047,砂仁,18,坚果种子类,,少许砂仁 || 2颗砂仁 || 1g砂仁,2114|5426|8214,可能是原生食材，但频次、命名或类别证据不足
